Produto,Guerra,Guerra Produto + Classificação,"Concat(Produto,Variedade,Classificação)"
Produto,Guerra,Guerra Produto + Classificação,Produto_Variedade_Classificação
ABACATE,4,4@443,ABACATE_FUCKS_BOCA_8_A_11
ABACATE,4,4@444,ABACATE_FUCKS_BOCA_12_A_15
ABACATE,5,5@928,ABACATE_GEADA_BOCA_08_A_11
ABACATE,5,5@444,ABACATE_GEADA_BOCA_12_A_15
ABACAXI,13,13@875,ABACAXI_HAVAÍ_08_FRUTOS
ABACAXI,13,13@289,ABACAXI_HAVAÍ_10_FRUTOS
ABACAXI,13,13@301,ABACAXI_HAVAÍ_12_FRUTOS
ABACAXI,14,14@875,ABACAXI_PÉROLA_08_FRUTOS
ABACAXI,14,14@289,ABACAXI_PÉROLA_10_FRUTOS
ABACAXI,14,14@301,ABACAXI_PÉROLA_12_FRUTOS
ACEROLA,16,16@,ACEROLA_N/A_N/A
AMEIXA,35,35@349,AMEIXA_FORTUNE_CALIBRE_4
AMEIXA,35,35@262,AMEIXA_FORTUNE_CALIBRE_3
AMEIXA,35,35@261,AMEIXA_FORTUNE_CALIBRE_2
AMEIXA,270,270@,AMEIXA_IMP._CHILE_N/A
AMEIXA,30,30@349,AMEIXA_LETÍCIA_CALIBRE_4
AMEIXA,30,30@262,AMEIXA_LETÍCIA_CALIBRE_3
AMEIXA,30,30@261,AMEIXA_LETÍCIA_CALIBRE_2
AMEIXA,32,32@349,AMEIXA_RUBI_MEL_CALIBRE_4
AMEIXA,32,32@262,AMEIXA_RUBI_MEL_CALIBRE_3
AMEIXA,32,32@261,AMEIXA_RUBI_MEL_CALIBRE_2
AMEIXA,36,36@,AMEIXA_SECA_IMP._N/A
AMORA,38,38@,AMORA_N/A_N/A
ATEMOIA,39,39@1269,ATEMOIA_N/A_05_A_08_FRUTOS
ATEMOIA,39,39@889,ATEMOIA_N/A_09_A_12_FRUTOS
ATEMOIA,39,39@39,ATEMOIA_N/A_13_A_18_FRUTOS
BANANA,42,42@241,BANANA_MAÇÃ_PRIMEIRA
BANANA,44,44@241,BANANA_NANICA_CLIMATIZADA_PRIMEIRA
BANANA,44,44@247,BANANA_NANICA_CLIMATIZADA_SEGUNDA
BANANA,45,45@241,BANANA_OURO_VERDE_PRIMEIRA
BANANA,48,48@241,BANANA_PRATA_MG_PRIMEIRA
BANANA,48,48@247,BANANA_PRATA_MG_SEGUNDA
BANANA,50,50@241,BANANA_PRATA_SP_PRIMEIRA
BANANA,50,50@247,BANANA_PRATA_SP_SEGUNDA
BANANA,51,51@241,BANANA_TERRA_PRIMEIRA
CAJU,53,53@877,CAJU_N/A_03_A_04_FRUTOS
CAJU,53,53@53,CAJU_N/A_05_A_06_FRUTOS
CAQUI,54,54@54,CAQUI_CHOCOLATE_30_A_32_FRUTOS
CAQUI,54,54@59,CAQUI_CHOCOLATE_36_A_42_FRUTOS
CAQUI,54,54@60,CAQUI_CHOCOLATE_60_A_64_FRUTAS
CAQUI,57,57@54,CAQUI_RAMA_FORTE_30_A_32_FRUTOS
CAQUI,57,57@59,CAQUI_RAMA_FORTE_36_A_42_FRUTOS
CAQUI,57,57@60,CAQUI_RAMA_FORTE_60_A_64_FRUTAS
CARAMBOLA,60,60@,CARAMBOLA_N/A_N/A
CEREJA,64,64@193,CEREJA_IMP._A
COCO VERDE,68,68@,COCO_VERDE_N/A_N/A
FEIJOA,71,71@,FEIJOA_N/A_N/A
FIGO,72,72@875,FIGO_N/A_08_FRUTOS
FIGO,72,72@289,FIGO_N/A_10_FRUTOS
FRAMBOESA,76,76@,FRAMBOESA_N/A_N/A
GOIABA,77,77@889,GOIABA_BRANCA_09_A_12_FRUTOS
GOIABA,77,77@313,GOIABA_BRANCA_15_FRUTOS
GOIABA,77,77@319,GOIABA_BRANCA_18_FRUTOS
GOIABA,78,78@889,GOIABA_VERMELHA_09_A_12_FRUTOS
GOIABA,78,78@313,GOIABA_VERMELHA_15_FRUTOS
GOIABA,78,78@319,GOIABA_VERMELHA_18_FRUTOS
GRANADILLA,79,79@,GRANADILLA_IMP._COLÔMBIA_N/A
GRAVIOLA,81,81@,GRAVIOLA_N/A_N/A
JABUTICABA,84,84@1038,JABUTICABA_N/A_CXT_1_KG
JACA,85,85@,JACA_N/A_N/A
KINO,88,88@,KINO_N/A_N/A
KIWI,267,267@267,KIWI_IMP._CHILE_60_A_80_FRUTOS
KIWI,89,89@267,KIWI_IMP._ITÁLIA_60_A_80_FRUTOS
LARANJA,94,94@876,LARANJA_BAIA_02_A_03_DZ
LARANJA,94,94@878,LARANJA_BAIA_04_A_05_DZ
LARANJA,94,94@882,LARANJA_BAIA_06_A_07_DZ
LARANJA,93,93@,LARANJA_BAIA_IMP._N/A
LARANJA,95,95@888,LARANJA_LIMA_09_A_12_DZ
LARANJA,95,95@898,LARANJA_LIMA_13_A_15_DZ
LARANJA,95,95@904,LARANJA_LIMA_16_A_21_DZ
LARANJA,96,96@888,LARANJA_PERA_09_A_12_DZ
LARANJA,96,96@898,LARANJA_PERA_13_A_15_DZ
LARANJA,96,96@904,LARANJA_PERA_16_A_21_DZ
LARANJA,97,97@894,LARANJA_SELETA_11_A_12_DZ
LARANJA,97,97@898,LARANJA_SELETA_13_A_15_DZ
LARANJA,97,97@904,LARANJA_SELETA_16_A_21_DZ
LARANJA,98,98@37,LARANJA_VALÊNCIA_A_(10/13_DZ)
LARANJA,98,98@43,LARANJA_VALÊNCIA_B_(14/15_DZ)
LARANJA,98,98@49,LARANJA_VALÊNCIA_C_(18/21_DZ)
LIMA-DA-PÉRSIA,101,101@61,LIMA-DA-PÉRSIA_N/A_A_(09/10_DZ)
LIMA-DA-PÉRSIA,101,101@67,LIMA-DA-PÉRSIA_N/A_B_(13/15_DZ)
LIMA-DA-PÉRSIA,101,101@73,LIMA-DA-PÉRSIA_N/A_C_(18/24_DZ)
LIMÃO,105,105@,LIMÃO_SICILIANO_N/A
LIMÃO,102,102@,LIMÃO_SICILIANO_IMP._N/A
LIMÃO,106,106@901,LIMÃO_TAITI_15_A_18_DZ
LIMÃO,106,106@910,LIMÃO_TAITI_21_A_27_DZ
LIMÃO,106,106@1057,LIMÃO_TAITI_ACIMA_DE_31_DZ
MAÇÃ,114,114@,MAÇÃ_EVA_N/A
MAÇÃ,116,116@116,MAÇÃ_FUJI_80_A_100_FRUTOS
MAÇÃ,116,116@117,MAÇÃ_FUJI_110_A_135_FRUTOS
MAÇÃ,116,116@118,MAÇÃ_FUJI_150_A_180_FRUTOS
MAÇÃ,158,158@107,MAÇÃ_FUJI_IMP._80_A_110_FRUTOS
MAÇÃ,158,158@165,MAÇÃ_FUJI_IMP._120_A_150_FRUTOS
MAÇÃ,117,117@116,MAÇÃ_GALA_80_A_100_FRUTOS
MAÇÃ,117,117@117,MAÇÃ_GALA_110_A_135_FRUTOS
MAÇÃ,117,117@118,MAÇÃ_GALA_150_A_180_FRUTOS
MAÇÃ,108,108@107,MAÇÃ_GALA_IMP._80_A_110_FRUTOS
MAÇÃ,108,108@165,MAÇÃ_GALA_IMP._120_A_150_FRUTOS
MAÇÃ,109,109@107,MAÇÃ_GOLDEN_IMP._80_A_110_FRUTOS
MAÇÃ,109,109@165,MAÇÃ_GOLDEN_IMP._120_A_150_FRUTOS
MAÇÃ,110,110@107,MAÇÃ_GRANNY_SMITH_IMP._80_A_110_FRUTOS
MAÇÃ,110,110@165,MAÇÃ_GRANNY_SMITH_IMP._120_A_150_FRUTOS
MAÇÃ,111,111@107,MAÇÃ_RED_IMP._80_A_110_FRUTOS
MAÇÃ,111,111@165,MAÇÃ_RED_IMP._120_A_150_FRUTOS
MAMÃO,121,121@881,MAMÃO_FORMOSA_05_A_09_FRUTOS
MAMÃO,121,121@893929,MAMÃO_FORMOSA_10_A_16_FRUTOS
MAMÃO,120,120@301,MAMÃO_HAVAÍ_12_FRUTOS
MAMÃO,120,120@119,MAMÃO_HAVAÍ_15__A_18_FRUTOS
MAMÃO,120,120@325,MAMÃO_HAVAÍ_21_FRUTOS
MAMÃO,120,120@861,MAMÃO_HAVAÍ_24/28_FRUTOS
MANGA,126,126@126,MANGA_HADEM_08_A_10_FRUTOS
MANGA,126,126@301,MANGA_HADEM_12_FRUTOS
MANGA,126,126@899,MANGA_HADEM_13_A_15_FRUTOS
MANGA,126,126@319,MANGA_HADEM_18_FRUTOS
MANGA,129,129@126,MANGA_PALMER_08_A_10_FRUTOS
MANGA,129,129@301,MANGA_PALMER_12_FRUTOS
MANGA,129,129@899,MANGA_PALMER_13_A_15_FRUTOS
MANGA,129,129@319,MANGA_PALMER_18_FRUTOS
MANGA,130,130@193,MANGA_ROSA_A
MANGA,131,131@126,MANGA_TOMMY_ATCKINS_08_A_10_FRUTOS
MANGA,131,131@301,MANGA_TOMMY_ATCKINS_12_FRUTOS
MANGA,131,131@899,MANGA_TOMMY_ATCKINS_13_A_15_FRUTOS
MANGA,131,131@319,MANGA_TOMMY_ATCKINS_18_FRUTOS
MARACUJÁ,135,135@969,MARACUJÁ_AZEDO_SUPER
MARACUJÁ,135,135@919,MARACUJÁ_AZEDO_4A
MARACUJÁ,135,135@874,MARACUJÁ_AZEDO_3A
MARACUJÁ,136,136@879,MARACUJÁ_DOCE_04_A_06_FRUTOS
MARACUJÁ,136,136@883,MARACUJÁ_DOCE_07_A_09_FRUTOS
MARACUJÁ,136,136@892,MARACUJÁ_DOCE_10_A_15_FRUTOS
MELANCIA,139,139@137,MELANCIA_N/A_GRAÚDA_(MAIOR_QUE_10_KG)
MELANCIA,139,139@138,MELANCIA_N/A_MÉDIA_(_DE_7_A_10_KG)
MELANCIA,139,139@136,MELANCIA_N/A_MIÚDA_(MENOR_QUE_7_KG)
MELANCIA,247,247@,MELANCIA_BABY_N/A
MELÃO,140,140@140,MELÃO_AMARELO_05_A_07_FRUTOS
MELÃO,140,140@141,MELÃO_AMARELO_08_A_09_FRUTOS
MELÃO,140,140@891,MELÃO_AMARELO_10_A_12_FRUTOS
MELÃO,140,140@142,MELÃO_AMARELO_ACIMA_DE_13_FRUTOS
MELÃO,142,142@,MELÃO_GÁLIA_N/A
MELÃO,144,144@877,MELÃO_ORANGE_03_A_04_FRUTOS
MELÃO,144,144@53,MELÃO_ORANGE_05_A_06_FRUTOS
MELÃO,144,144@144,MELÃO_ORANGE_07_A_08_FRUTOS
MELÃO,145,145@146,MELÃO_PELE_DE_SAPO_06_A_08_FRUTOS
MELÃO,145,145@141,MELÃO_PELE_DE_SAPO_08_A_09_FRUTOS
MELÃO,145,145@891,MELÃO_PELE_DE_SAPO_10_A_12_FRUTOS
MEXERICA,147,147@878,MEXERICA_RIO_04_A_05_DZ
MEXERICA,147,147@882,MEXERICA_RIO_06_A_07_DZ
MEXERICA,147,147@885,MEXERICA_RIO_08_A_09_DZ
MIRTILO,148,148@,MIRTILO_N/A_N/A
MORANGO,151,151@397,MORANGO_CAMINO_REAL_4_CUMB/2_CAM
MORANGO,151,151@403,MORANGO_CAMINO_REAL_4_CUMB/_1_CAM
MORANGO,149,149@397,MORANGO_COMUM_4_CUMB/2_CAM
NECTARINA,268,268@269,NECTARINA_IMP._ARGENTINA_48_A_56_FRUTOS
NECTARINA,269,269@269,NECTARINA_IMP._CHILE_48_A_56_FRUTOS
PERA,165,165@107,PERA_DANJOU_IMP._80_A_110_FRUTOS
PERA,165,165@165,PERA_DANJOU_IMP._120_A_150_FRUTOS
PERA,254,254@,PERA_ERCOLINI_IMP._N/A
PERA,253,253@,PERA_FORELLI_IMP._N/A
PERA,166,166@,PERA_HOSUI_IMP._N/A
PERA,168,168@168,PERA_ROCHA_IMP._50_A_60_FRUTOS
PERA,168,168@925,PERA_ROCHA_IMP._A_GRANEL
PERA,170,170@116,PERA_WILLIAMS_IMP._80_A_100_FRUTOS
PERA,170,170@165,PERA_WILLIAMS_IMP._120_A_150_FRUTOS
PÊSSEGO,179,179@349,PÊSSEGO_ERAGIL_CALIBRE_4
PÊSSEGO,179,179@262,PÊSSEGO_ERAGIL_CALIBRE_3
PÊSSEGO,179,179@261,PÊSSEGO_ERAGIL_CALIBRE_2
PÊSSEGO,182,182@269,PÊSSEGO_IMP._48_A_56_FRUTOS
PÊSSEGO,159,159@269,PÊSSEGO_IMP._ARGENTINA_48_A_56_FRUTOS
PÊSSEGO,160,160@269,PÊSSEGO_IMP._CHILE_48_A_56_FRUTOS
PHYSALIS,207,207@,PHYSALIS_N/A_N/A
PINHA,208,208@883,PINHA_N/A_07_A_09_FRUTOS
PINHA,208,208@891,PINHA_N/A_10_A_12_FRUTOS
PINHA,208,208@899,PINHA_N/A_13_A_15_FRUTOS
PITAIA,209,209@,PITAIA_N/A_N/A
ROMÃ,215,215@,ROMÃ_N/A_N/A
SERIGUELA,217,217@,SERIGUELA_N/A_N/A
TÂMARA,218,218@,TÂMARA_IMP._N/A
TAMARILLO,219,219@,TAMARILLO_N/A_N/A
TANGERINA,223,223@1069,TANGERINA_MURCOTE_03_A_04_DZ
TANGERINA,223,223@1075,TANGERINA_MURCOTE_05_A_06_DZ
TANGERINA,223,223@886,TANGERINA_MURCOTE_08_A_10_DZ
UVA,255,255@,UVA_ARRA_15_N/A
UVA,242,242@193,UVA_BENITAKA_A
UVA,232,232@193,UVA_BRASIL_A
UVA,227,227@193,UVA_CLARA_SEM_SEMENTE_A
UVA,227,227@199,UVA_CLARA_SEM_SEMENTE_B
UVA,233,233@193,UVA_CRIMSON_A
UVA,233,233@199,UVA_CRIMSON_B
UVA,256,256@,UVA_ISIS_N/A
UVA,243,243@193,UVA_ITÁLIA_A
UVA,274,274@,UVA_MELODIA_N/A
UVA,235,235@,UVA_MOSCATO_N/A
UVA,236,236@193,UVA_NIÁGARA_A
UVA,236,236@199,UVA_NIÁGARA_B
UVA,245,245@,UVA_PASSA_SECA_IMP._N/A
UVA,257,257@,UVA_PRETA_COM_SEMENTE_N/A
UVA,244,244@193,UVA_RED_GLOBE_A
UVA,244,244@199,UVA_RED_GLOBE_B
UVA,240,240@193,UVA_THOMPSON_A
UVA,240,240@199,UVA_THOMPSON_B
UVA,237,237@193,UVA_VITÓRIA_A
UVA,237,237@199,UVA_VITÓRIA_B
ABÓBORA,400,400@,ABÓBORA_DÁGUA_N/A
ABÓBORA,401,401@,ABÓBORA_JAPONESA_N/A
ABÓBORA,402,402@,ABÓBORA_MORANGA_N/A
ABÓBORA,403,403@,ABÓBORA_PAULISTA_N/A
ABÓBORA,404,404@,ABÓBORA_SECA_N/A
ABOBRINHA,405,405@874,ABOBRINHA_BRASILEIRA_3A
ABOBRINHA,405,405@873,ABOBRINHA_BRASILEIRA_2A
ABOBRINHA,405,405@872,ABOBRINHA_BRASILEIRA_1A
ABOBRINHA,406,406@874,ABOBRINHA_ITALIANA_3A
ABOBRINHA,406,406@873,ABOBRINHA_ITALIANA_2A
ABOBRINHA,406,406@872,ABOBRINHA_ITALIANA_1A
BATATA-DOCE,409,409@873,BATATA-DOCE_BRANCA_2A
BATATA-DOCE,409,409@872,BATATA-DOCE_BRANCA_1A
BATATA-DOCE,409,409@1014,BATATA-DOCE_BRANCA_G
BATATA-DOCE,410,410@873,BATATA-DOCE_ROSADA_2A
BATATA-DOCE,410,410@872,BATATA-DOCE_ROSADA_1A
BATATA-DOCE,410,410@1014,BATATA-DOCE_ROSADA_G
BATATA-DOCE,411,411@873,BATATA-DOCE_ROXA_2A
BATATA-DOCE,411,411@872,BATATA-DOCE_ROXA_1A
BATATA-DOCE,411,411@1014,BATATA-DOCE_ROXA_G
BERINJELA,413,413@874,BERINJELA_COMUM_3A
BERINJELA,413,413@873,BERINJELA_COMUM_2A
BERINJELA,413,413@872,BERINJELA_COMUM_1A
BERINJELA,415,415@874,BERINJELA_JAPONESA_3A
BERINJELA,415,415@873,BERINJELA_JAPONESA_2A
BERINJELA,415,415@872,BERINJELA_JAPONESA_1A
BERINJELA,414,414@1017,BERINJELA_PARA_CONSERVA_P
BERINJELA,414,414@1018,BERINJELA_PARA_CONSERVA_M
BETERRABA,416,416@121,BETERRABA_N/A_ESPECIAL
BETERRABA,416,416@874,BETERRABA_N/A_3A
BETERRABA,416,416@873,BETERRABA_N/A_2A
BETERRABA,416,416@1014,BETERRABA_N/A_G
CARÁ,418,418@873,CARÁ_N/A_2A
CARÁ,418,418@1014,CARÁ_N/A_G
CENOURA,420,420@121,CENOURA_N/A_ESPECIAL
CENOURA,420,420@874,CENOURA_N/A_3A
CENOURA,420,420@873,CENOURA_N/A_2A
CENOURA,420,420@1014,CENOURA_N/A_G
CHUCHU,422,422@874,CHUCHU_N/A_3A
CHUCHU,422,422@873,CHUCHU_N/A_2A
CHUCHU,422,422@872,CHUCHU_N/A_1A
ERVILHA,432,432@874,ERVILHA_TORTA_3A
ERVILHA,432,432@873,ERVILHA_TORTA_2A
ERVILHA,432,432@872,ERVILHA_TORTA_1A
GENGIBRE,436,436@193,GENGIBRE_N/A_A
INHAME,437,437@874,INHAME_N/A_3A
INHAME,437,437@873,INHAME_N/A_2A
INHAME,437,437@872,INHAME_N/A_1A
JILÓ,438,438@874,JILÓ_N/A_3A
JILÓ,438,438@873,JILÓ_N/A_2A
JILÓ,438,438@872,JILÓ_N/A_1A
MANDIOCA,440,440@163,MANDIOCA_N/A_GRAÚDA
MANDIOCA,440,440@169,MANDIOCA_N/A_MÉDIA
MANDIOCA,440,440@175,MANDIOCA_N/A_MIÚDA
MANDIOQUINHA,441,441@121,MANDIOQUINHA_N/A_ESPECIAL
MANDIOQUINHA,441,441@874,MANDIOQUINHA_N/A_3A
MANDIOQUINHA,441,441@873,MANDIOQUINHA_N/A_2A
MANDIOQUINHA,441,441@872,MANDIOQUINHA_N/A_1A
MAXIXE,442,442@,MAXIXE_N/A_N/A
NIGAGORI,443,443@,NIGAGORI_N/A_N/A
PEPINO,445,445@874,PEPINO_CAIPIRA_3A
PEPINO,445,445@873,PEPINO_CAIPIRA_2A
PEPINO,445,445@872,PEPINO_CAIPIRA_1A
PEPINO,446,446@874,PEPINO_COMUM_3A
PEPINO,446,446@873,PEPINO_COMUM_2A
PEPINO,446,446@872,PEPINO_COMUM_1A
PEPINO,448,448@874,PEPINO_JAPONÊS_3A
PEPINO,448,448@873,PEPINO_JAPONÊS_2A
PEPINO,448,448@872,PEPINO_JAPONÊS_1A
PEPINO,447,447@874,PEPINO_PARA_CONSERVA_3A
PIMENTA,449,449@873,PIMENTA_CAMBUCI_2A
PIMENTA,449,449@872,PIMENTA_CAMBUCI_1A
PIMENTA,477,477@,PIMENTA_DEDO_DE_MOÇA_N/A
PIMENTA,478,478@,PIMENTA_MALAGUETA/MALAGUETÃO_N/A
PIMENTA,451,451@874,PIMENTA_VERDE_AMERICANA_3A
