Guerra Produto + Classificação,Grupo,Produto,Variedade,Classificação,CONCAT
440@169,LEGUMES,MANDIOCA,,MÉDIA,MANDIOCA_MÉDIA
440@175,LEGUMES,MANDIOCA,,MIÚDA,MANDIOCA_MIÚDA
441@121,LEGUMES,MANDIOQUINHA,,ESPECIAL,MANDIOQUINHA_ESPECIAL
441@874,LEGUMES,MANDIOQUINHA,,3A,MANDIOQUINHA_3A
441@873,LEGUMES,MANDIOQUINHA,,2A,MANDIOQUINHA_2A
441@872,LEGUMES,MANDIOQUINHA,,1A,MANDIOQUINHA_1A
442@,LEGUMES,MAXIXE,,,
443@,LEGUMES,NIGAGORI,,,
445@874,LEGUMES,PEPINO,CAIPIRA,3A,PEPINO_3A
445@873,LEGUMES,PEPINO,CAIPIRA,2A,PEPINO_2A
445@872,LEGUMES,PEPINO,CAIPIRA,1A,PEPINO_1A
446@874,LEGUMES,PEPINO,COMUM,3A,PEPINO_3A
446@873,LEGUMES,PEPINO,COMUM,2A,PEPINO_2A
446@872,LEGUMES,PEPINO,COMUM,1A,PEPINO_1A
448@874,LEGUMES,PEPINO,JAPONÊS,3A,PEPINO_3A
448@873,LEGUMES,PEPINO,JAPONÊS,2A,PEPINO_2A
448@872,LEGUMES,PEPINO,JAPONÊS,1A,PEPINO_1A
447@874,LEGUMES,PEPINO,PARA CONSERVA,3A,PEPINO_3A
449@873,LEGUMES,PIMENTA,CAMBUCI,2A,PIMENTA_2A
449@872,LEGUMES,PIMENTA,CAMBUCI,1A,PIMENTA_1A
477@,LEGUMES,PIMENTA,DEDO DE MOÇA,,
478@,LEGUMES,PIMENTA,MALAGUETA/MALAGUETÃO,,
451@874,LEGUMES,PIMENTA,VERDE AMERICANA,3A,PIMENTA_3A
451@873,LEGUMES,PIMENTA,VERDE AMERICANA,2A,PIMENTA_2A
451@872,LEGUMES,PIMENTA,VERDE AMERICANA,1A,PIMENTA_1A
453@874,LEGUMES,PIMENTÃO,AMARELO,3A,PIMENTÃO_3A
453@873,LEGUMES,PIMENTÃO,AMARELO,2A,PIMENTÃO_2A
453@872,LEGUMES,PIMENTÃO,AMARELO,1A,PIMENTÃO_1A
454@874,LEGUMES,PIMENTÃO,VERDE,3A,PIMENTÃO_3A
454@873,LEGUMES,PIMENTÃO,VERDE,2A,PIMENTÃO_2A
454@872,LEGUMES,PIMENTÃO,VERDE,1A,PIMENTÃO_1A
455@874,LEGUMES,PIMENTÃO,VERMELHO,3A,PIMENTÃO_3A
455@873,LEGUMES,PIMENTÃO,VERMELHO,2A,PIMENTÃO_2A
455@872,LEGUMES,PIMENTÃO,VERMELHO,1A,PIMENTÃO_1A
456@874,LEGUMES,QUIABO,,3A,QUIABO_3A
456@873,LEGUMES,QUIABO,,2A,QUIABO_2A
456@872,LEGUMES,QUIABO,,1A,QUIABO_1A
458@994,LEGUMES,TOMATE,CAQUI,TIPO 4/7,TOMATE_TIPO 4/7
458@1076,LEGUMES,TOMATE,CAQUI,TIPO 8/11,TOMATE_TIPO 8/11
472@874,LEGUMES,TOMATE,CARMEM,3A,TOMATE_3A
472@873,LEGUMES,TOMATE,CARMEM,2A,TOMATE_2A
472@872,LEGUMES,TOMATE,CARMEM,1A,TOMATE_1A
459@,LEGUMES,TOMATE,CEREJA,,
471@874,LEGUMES,TOMATE,DÉBORA,3A,TOMATE_3A
471@873,LEGUMES,TOMATE,DÉBORA,2A,TOMATE_2A
471@872,LEGUMES,TOMATE,DÉBORA,1A,TOMATE_1A
474@874,LEGUMES,TOMATE,HOLANDÊS,3A,TOMATE_3A
474@873,LEGUMES,TOMATE,HOLANDÊS,2A,TOMATE_2A
474@872,LEGUMES,TOMATE,HOLANDÊS,1A,TOMATE_1A
473@874,LEGUMES,TOMATE,PIZZADORO,3A,TOMATE_3A
473@873,LEGUMES,TOMATE,PIZZADORO,2A,TOMATE_2A
473@872,LEGUMES,TOMATE,PIZZADORO,1A,TOMATE_1A
467@,LEGUMES,TOMATE,SWEET GRAPE,,
462@874,LEGUMES,VAGEM,MACARRÃO,3A,VAGEM_3A
462@873,LEGUMES,VAGEM,MACARRÃO,2A,VAGEM_2A
462@872,LEGUMES,VAGEM,MACARRÃO,1A,VAGEM_1A
463@874,LEGUMES,VAGEM,MANTEIGA,3A,VAGEM_3A
463@873,LEGUMES,VAGEM,MANTEIGA,2A,VAGEM_2A
463@872,LEGUMES,VAGEM,MANTEIGA,1A,VAGEM_1A
464@874,LEGUMES,VAGEM,METRO,3A,VAGEM_3A
464@873,LEGUMES,VAGEM,METRO,2A,VAGEM_2A
412@874,LEGUMES,YACON,,3A,YACON_3A
412@873,LEGUMES,YACON,,2A,YACON_2A
600@600,VERDURAS,ACELGA,,08 CABEÇAS,ACELGA_08 CABEÇAS
601@,VERDURAS,ACELGA,CHINESA,,
602@631,VERDURAS,AGRIÃO,COMUM,20 MAÇOS,AGRIÃO_20 MAÇOS
603@603,VERDURAS,AGRIÃO,HIDROPÔNICO,15 MAÇOS,AGRIÃO_15 MAÇOS
604@,VERDURAS,ALECRIM,,,
605@1013,VERDURAS,ALFACE,AMERICANA,12 UNIDADES,ALFACE_12 UNIDADES
606@1015,VERDURAS,ALFACE,CRESPA,18 UNIDADES,ALFACE_18 UNIDADES
607@957,VERDURAS,ALFACE,CRESPA HIDROPÔNICA,20 UNIDADES,ALFACE_20 UNIDADES
608@1015,VERDURAS,ALFACE,LISA,18 UNIDADES,ALFACE_18 UNIDADES
608@1016,VERDURAS,ALFACE,LISA,24 UNIDADES,ALFACE_24 UNIDADES
609@957,VERDURAS,ALFACE,LISA HIDROPÔNICA,20 UNIDADES,ALFACE_20 UNIDADES
610@1015,VERDURAS,ALFACE,MIMOSA,18 UNIDADES,ALFACE_18 UNIDADES
610@1016,VERDURAS,ALFACE,MIMOSA,24 UNIDADES,ALFACE_24 UNIDADES
611@957,VERDURAS,ALFACE,MIMOSA HIDROPÔNICA,20 UNIDADES,ALFACE_20 UNIDADES
612@1016,VERDURAS,ALFACE,ROMANA,24 UNIDADES,ALFACE_24 UNIDADES
613@,VERDURAS,ALFAVACA,,,
614@1082,VERDURAS,ALHO-PORRO,,TIPO A 4 MAÇOS,ALHO-PORRO_TIPO A 4 MAÇOS
614@1083,VERDURAS,ALHO-PORRO,,TIPO B 4 MAÇOS,ALHO-PORRO_TIPO B 4 MAÇOS
615@1013,VERDURAS,ALMEIRÃO,COMUM,12 UNIDADES,ALMEIRÃO_12 UNIDADES
671@,VERDURAS,ALMEIRÃO,HIDROPÔNICO,,
616@1013,VERDURAS,ALMEIRÃO,PÃO DE AÇÚCAR,12 UNIDADES,ALMEIRÃO_12 UNIDADES
618@,VERDURAS,ASPARGO,,,
619@619,VERDURAS,BETERRABA COM FOLHAS,,08 MAÇOS,BETERRABA COM FOLHAS_08 MAÇOS
621@600,VERDURAS,BRÓCOLOS,NINJA,08 CABEÇAS,BRÓCOLOS_08 CABEÇAS
622@616,VERDURAS,BRÓCOLOS,RAMOSO,12 MAÇOS,BRÓCOLOS_12 MAÇOS
623@,VERDURAS,BROTO DE ALFAFA,,,
667@,VERDURAS,CAPIM-CIDREIRA,,,
624@616,VERDURAS,CATALONHA,,12 MAÇOS,CATALONHA_12 MAÇOS
625@,VERDURAS,CEBOLETE,,,
626@1096,VERDURAS,CEBOLINHA,,TIPO A 10 MAÇOS,CEBOLINHA_TIPO A 10 MAÇOS
626@1097,VERDURAS,CEBOLINHA,,TIPO B 10 MAÇOS,CEBOLINHA_TIPO B 10 MAÇOS
629@1015,VERDURAS,CHICÓRIA,,18 UNIDADES,CHICÓRIA_18 UNIDADES
630@1086,VERDURAS,COENTRO,,TIPO A 20 MAÇOS,COENTRO_TIPO A 20 MAÇOS
630@1087,VERDURAS,COENTRO,,TIPO B 20 MAÇOS,COENTRO_TIPO B 20 MAÇOS
423@,VERDURAS,COGUMELO,ERYNGUI,,
424@,VERDURAS,COGUMELO,HIRATAKE,,
427@,VERDURAS,COGUMELO,PARIS,,
428@,VERDURAS,COGUMELO,PORTOBELO,,
429@,VERDURAS,COGUMELO,SHIMEJI,,
430@,VERDURAS,COGUMELO,SHITAKE,,
632@923,VERDURAS,COUVE,MANTEIGA,A (24 MÇS),COUVE_A (24 MÇS)
632@926,VERDURAS,COUVE,MANTEIGA,B (24 MÇS),COUVE_B (24 MÇS)
631@,VERDURAS,COUVE-DE-BRUXELAS,,,
633@600,VERDURAS,COUVE-FLOR,,08 CABEÇAS,COUVE-FLOR_08 CABEÇAS
633@897,VERDURAS,COUVE-FLOR,,12 CABEÇAS,COUVE-FLOR_12 CABEÇAS
634@,VERDURAS,ENDÍVIA,,,
635@,VERDURAS,ENDRO,,,
637@1090,VERDURAS,ERVA-DOCE,,TIPO A 12 CABEÇAS,ERVA-DOCE_TIPO A 12 CABEÇAS
637@1091,VERDURAS,ERVA-DOCE,,TIPO B 12 CABEÇAS,ERVA-DOCE_TIPO B 12 CABEÇAS
636@1015,VERDURAS,ESCAROLA,COMUM,18 UNIDADES,ESCAROLA_18 UNIDADES
636@1016,VERDURAS,ESCAROLA,COMUM,24 UNIDADES,ESCAROLA_24 UNIDADES
638@1013,VERDURAS,ESPINAFRE,,12 UNIDADES,ESPINAFRE_12 UNIDADES
638@638,VERDURAS,ESPINAFRE,,15 UNIDADES,ESPINAFRE_15 UNIDADES
620@,VERDURAS,ESPINAFRE,HIDROPÔNICO,,
639@,VERDURAS,ESTRAGÃO,,,
641@662,VERDURAS,GENGIBRE COM FOLHAS,,06 MAÇOS,GENGIBRE COM FOLHAS_06 MAÇOS
642@,VERDURAS,GOBÔ,,,
644@1031,VERDURAS,HORTELÃ,,MAÇO A,HORTELÃ_MAÇO A
645@,VERDURAS,LOURO,,,
646@,VERDURAS,MANJERICÃO,,,
647@,VERDURAS,MANJERONA,,,
648@193,VERDURAS,MILHO VERDE,,A,MILHO VERDE_A
648@199,VERDURAS,MILHO VERDE,,B,MILHO VERDE_B
648@1098,VERDURAS,MILHO VERDE,,BANDEJA,MILHO VERDE_BANDEJA
650@616,VERDURAS,MOSTARDA,COMUM,12 MAÇOS,MOSTARDA_12 MAÇOS
670@1015,VERDURAS,MOSTARDA,HIDROPÔNICA,18 UNIDADES,MOSTARDA_18 UNIDADES
651@,VERDURAS,MOYASHI,,,
652@993,VERDURAS,NABO,,TIPO 4 (MÇS COM 6),NABO_TIPO 4 (MÇS COM 6)
652@997,VERDURAS,NABO,,TIPO 6 (MÇS COM 6),NABO_TIPO 6 (MÇS COM 6)
653@,VERDURAS,ORÉGANO,,,
655@,VERDURAS,PALMITO,,,
656@1086,VERDURAS,RABANETE,,TIPO A 20 MAÇOS,RABANETE_TIPO A 20 MAÇOS
656@1093,VERDURAS,RABANETE,,TIPO B 24 MAÇOS,RABANETE_TIPO B 24 MAÇOS
657@,VERDURAS,RADICCHIO,,,
659@1268,VERDURAS,REPOLHO,LISO,12/14 CABEÇAS,REPOLHO_12/14 CABEÇAS
658@1268,VERDURAS,REPOLHO,ROXO,12/14 CABEÇAS,REPOLHO_12/14 CABEÇAS
661@,VERDURAS,RÚCULA,HIDROPÔNICA,,
662@662,VERDURAS,SALSA,,06 MAÇOS,SALSA_06 MAÇOS
663@1090,VERDURAS,SALSÃO,BRANCO/VERDE,TIPO A 12 CABEÇAS,SALSÃO_TIPO A 12 CABEÇAS
663@1091,VERDURAS,SALSÃO,BRANCO/VERDE,TIPO B 12 CABEÇAS,SALSÃO_TIPO B 12 CABEÇAS
665@,VERDURAS,SÁLVIA,,,
666@,VERDURAS,TOMILHO,,,
816@,DIVERSOS,ALHO,DESCASCADO,,
801@439,DIVERSOS,ALHO,IMP. ARGENTINA,TIPO 7,ALHO_TIPO 7
801@438,DIVERSOS,ALHO,IMP. ARGENTINA,TIPO 6,ALHO_TIPO 6
801@437,DIVERSOS,ALHO,IMP. ARGENTINA,TIPO 5,ALHO_TIPO 5
808@848,DIVERSOS,ALHO,NACIONAL,TIPO 8,ALHO_TIPO 8
808@439,DIVERSOS,ALHO,NACIONAL,TIPO 7,ALHO_TIPO 7
808@438,DIVERSOS,ALHO,NACIONAL,TIPO 6,ALHO_TIPO 6
808@437,DIVERSOS,ALHO,NACIONAL,TIPO 5,ALHO_TIPO 5
809@,DIVERSOS,AMENDOIM,COM PELE,,
810@,DIVERSOS,AMENDOIM,SEM PELE,,
846@,DIVERSOS,BATATA,ASTERIX,,
847@847,DIVERSOS,BATATA,ESCOVADA,NOIVA,BATATA_NOIVA
847@121,DIVERSOS,BATATA,ESCOVADA,ESPECIAL,BATATA_ESPECIAL
848@847,DIVERSOS,BATATA,LAVADA,NOIVA,BATATA_NOIVA
848@121,DIVERSOS,BATATA,LAVADA,ESPECIAL,BATATA_ESPECIAL
848@4,DIVERSOS,BATATA,LAVADA,2A. BOLINHA,BATATA_2A. BOLINHA
848@2,DIVERSOS,BATATA,LAVADA,FLORÃO,BATATA_FLORÃO
848@5,DIVERSOS,BATATA,LAVADA,1A. ESPECIALZINHA,BATATA_1A. ESPECIALZINHA
848@3,DIVERSOS,BATATA,LAVADA,BONECA,BATATA_BONECA
818@1028,DIVERSOS,CEBOLA,IMP. ARGENTINA,CAIXA 4,CEBOLA_CAIXA 4
820@1027,DIVERSOS,CEBOLA,NACIONAL,CAIXA 3,CEBOLA_CAIXA 3
820@1028,DIVERSOS,CEBOLA,NACIONAL,CAIXA 4,CEBOLA_CAIXA 4
820@1029,DIVERSOS,CEBOLA,NACIONAL,CAIXA 2,CEBOLA_CAIXA 2
843@1027,DIVERSOS,CEBOLA,ROXA,CAIXA 3,CEBOLA_CAIXA 3
843@1028,DIVERSOS,CEBOLA,ROXA,CAIXA 4,CEBOLA_CAIXA 4
843@1029,DIVERSOS,CEBOLA,ROXA,CAIXA 2,CEBOLA_CAIXA 2
831@,DIVERSOS,COCO SECO,,,
834@200,DIVERSOS,OVOS,BRANCOS,JUMBO,OVOS_JUMBO
834@115,DIVERSOS,OVOS,BRANCOS,EXTRA,OVOS_EXTRA
834@157,DIVERSOS,OVOS,BRANCOS,GRANDE,OVOS_GRANDE
834@187,DIVERSOS,OVOS,BRANCOS,PEQUENO,OVOS_PEQUENO
844@115,DIVERSOS,OVOS,BRANCOS EMBALADOS,EXTRA,OVOS_EXTRA
844@157,DIVERSOS,OVOS,BRANCOS EMBALADOS,GRANDE,OVOS_GRANDE
835@,DIVERSOS,OVOS,CODORNA,,
836@115,DIVERSOS,OVOS,VERMELHOS,EXTRA,OVOS_EXTRA
906@,FLORES,ALSTROMÉRIA,,,
903@,FLORES,ANGÉLICA,,,
904@,FLORES,ANTÚRIO,VASO,,
924@,FLORES,AVENCA,,,
907@,FLORES,AZALÉA,,,
985@,FLORES,BEGÔNIA,,,
908@,FLORES,BICO-DE-PAPAGAIO,,,
909@,FLORES,BOCA-DE-LEÃO,,,
984@,FLORES,BROMÉLIA,,,
915@,FLORES,CRAVINA,,,
917@,FLORES,CRAVO,COMUM,,
919@,FLORES,CRISÂNTEMO,PCT,,
930@,FLORES,CRISÂNTEMO,POLARES B. BELGA VS,,
920@,FLORES,CRISÂNTEMO,VASO,,
931@,FLORES,CRISTA-DE-GALO,,,
933@,FLORES,DÁLIA,MÇ,,
935@,FLORES,DRACENA,,,
983@211,FLORES,ESTRELÍCIA,,CABO LONGO,ESTRELÍCIA_CABO LONGO
941@,FLORES,EUCALIPTO,SIMÉRIA,,
901@,FLORES,FLOR DE ASPARGO,,,
943@,FLORES,FLOR DE TRIGO,,,
947@,FLORES,GÉRBERA,PCT,,
948@,FLORES,GIRASSOL,,,
952@,FLORES,GRAMA,,,
953@,FLORES,GYPSÓFILA,,,
936@,FLORES,HELICÔNIA,,,
991@,FLORES,HORTÊNSIA,MAÇO,,
956@,FLORES,KALANCHOE,,,
957@,FLORES,LÍRIO,PCT,,
989@211,FLORES,LISIANTHUS,,CABO LONGO,LISIANTHUS_CABO LONGO
989@217,FLORES,LISIANTHUS,,CABO MÉDIO,LISIANTHUS_CABO MÉDIO
998@,FLORES,MINI ROSA,,,
988@,FLORES,MOREIA,,,
967@,FLORES,ORQUÍDEA,VS,,
1007@,FLORES,PALMEIRA,PCT,,
971@,FLORES,PRÍMULA,,,
972@,FLORES,RAINHA MARGARIDA (ASTER),,,
974@211,FLORES,ROSA,,CABO LONGO,ROSA_CABO LONGO
974@217,FLORES,ROSA,,CABO MÉDIO,ROSA_CABO MÉDIO
974@223,FLORES,ROSA,,CABO CURTO,ROSA_CABO CURTO
1005@,FLORES,ROSA SPRAY,,,
1004@,FLORES,SUCULENTA,,,
992@,FLORES,TANGO,,,
1010@,FLORES,TUIA,PCT,,
980@,FLORES,VIOLETA,15 VS,,
1117@,PESCADOS,BETARA,,,
1137@1014,PESCADOS,CAMARÃO,CATIVEIRO,G,CAMARÃO_G
1137@1018,PESCADOS,CAMARÃO,CATIVEIRO,M,CAMARÃO_M
1137@1017,PESCADOS,CAMARÃO,CATIVEIRO,P,CAMARÃO_P
1139@1014,PESCADOS,CAMARÃO,ROSA,G,CAMARÃO_G
1139@1018,PESCADOS,CAMARÃO,ROSA,M,CAMARÃO_M
1139@1017,PESCADOS,CAMARÃO,ROSA,P,CAMARÃO_P
1162@1014,PESCADOS,CORVINA,ÁGUA SALGADA,G,CORVINA_G
1162@1018,PESCADOS,CORVINA,ÁGUA SALGADA,M,CORVINA_M
1162@1017,PESCADOS,CORVINA,ÁGUA SALGADA,P,CORVINA_P
1167@,PESCADOS,FILE DE TILAPIA,,,
1171@,PESCADOS,GALO,,,
1185@1014,PESCADOS,LULA,,G,LULA_G
1185@1018,PESCADOS,LULA,,M,LULA_M
1185@1017,PESCADOS,LULA,,P,LULA_P
1189@,PESCADOS,MANJUBA,,,
1198@,PESCADOS,MISTURA DE PEIXES,,,
1120@,PESCADOS,PEIXE-CABRA,,,
1212@,PESCADOS,PEROA (PORQUINHO),,,
1217@1014,PESCADOS,PESCADA,GOETE,G,PESCADA_G
1217@1018,PESCADOS,PESCADA,GOETE,M,PESCADA_M
1217@1017,PESCADOS,PESCADA,GOETE,P,PESCADA_P
1223@1014,PESCADOS,PESCADA,MARIA-MOLE,G,PESCADA_G
1223@1018,PESCADOS,PESCADA,MARIA-MOLE,M,PESCADA_M
1223@1017,PESCADOS,PESCADA,MARIA-MOLE,P,PESCADA_P
1258@1014,PESCADOS,TAINHA,,G,TAINHA_G
1258@1018,PESCADOS,TAINHA,,M,TAINHA_M
1258@1017,PESCADOS,TAINHA,,P,TAINHA_P
1253@,PESCADOS,TAMBAQUI,,,
1260@,PESCADOS,TILÁPIA,,,
1263@,PESCADOS,TRILHA,,,
1264@,PESCADOS,TRUTA,,,
2@928,FRUTAS,ABACATE,BREDA,BOCA 08 A 11,ABACATE_BOCA 08 A 11
2@444,FRUTAS,ABACATE,BREDA,BOCA 12 A 15,ABACATE_BOCA 12 A 15
7@928,FRUTAS,ABACATE,MARGARIDA,BOCA 08 A 11,ABACATE_BOCA 08 A 11
7@444,FRUTAS,ABACATE,MARGARIDA,BOCA 12 A 15,ABACATE_BOCA 12 A 15
22@,FRUTAS,AMEIXA,ESPANHOLA IMPORTADA,,
27@349,FRUTAS,AMEIXA,FLA,CALIBRE 4,AMEIXA_CALIBRE 4
27@262,FRUTAS,AMEIXA,FLA,CALIBRE 3,AMEIXA_CALIBRE 3
27@261,FRUTAS,AMEIXA,FLA,CALIBRE 2,AMEIXA_CALIBRE 2
36@,FRUTAS,AMEIXA,SECA IMPORTADA,,
37@,FRUTAS,AMÊNDOA,IMPORTADA,,
42@247,FRUTAS,BANANA,MAÇÃ,SEGUNDA,BANANA_SEGUNDA
265@,FRUTAS,CACAU,,,
52@,FRUTAS,CUPUAÇU,,,
79@,FRUTAS,GRANADILLA,,,
86@,FRUTAS,JAMBO,,,
267@267,FRUTAS,KIWI,CHILENO IMPORTADO,60 A 80 FRUTOS,KIWI_60 A 80 FRUTOS
271@272,FRUTAS,KIWI,GOLD NZL IMPORTADO,44 A 48 FRUTOS,KIWI_44 A 48 FRUTOS
92@89,FRUTAS,KIWI,GREEN NZL IMPORTADO,65 A 78 FRUTOS,KIWI_65 A 78 FRUTOS
90@,FRUTAS,KIWI,IMPORTADO,,
93@,FRUTAS,LARANJA,BAIA IMPORTADA,,
102@,FRUTAS,LIMÃO,SICILIANO IMPORTADO,,
108@107,FRUTAS,MAÇÃ,GALA IMPORTADA,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
108@165,FRUTAS,MAÇÃ,GALA IMPORTADA,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
110@107,FRUTAS,MAÇÃ,GRANNY SMITH IMPORTADA,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
110@165,FRUTAS,MAÇÃ,GRANNY SMITH IMPORTADA,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
252@,FRUTAS,MAÇÃ,PINK LADY IMPORTADA,,
111@107,FRUTAS,MAÇÃ,RED IMPORTADA,80 A 110 FRUTOS,MAÇÃ_80 A 110 FRUTOS
111@165,FRUTAS,MAÇÃ,RED IMPORTADA,120 A 150 FRUTOS,MAÇÃ_120 A 150 FRUTOS
125@193,FRUTAS,MANGA,ESPADA,A,MANGA_A
277@,FRUTAS,MANGA,LOLITA,,
130@199,FRUTAS,MANGA,ROSA,B,MANGA_B
130@205,FRUTAS,MANGA,ROSA,C,MANGA_C
149@403,FRUTAS,MORANGO,COMUM,4 CUMB/ 1 CAM,MORANGO_4 CUMB/ 1 CAM
161@1065,FRUTAS,NECTARINA,,4A POR CALIBRE,NECTARINA_4A POR CALIBRE
156@269,FRUTAS,NECTARINA,ESPANHOLA IMPORTADA,48 A 56 FRUTOS,NECTARINA_48 A 56 FRUTOS
162@1045,FRUTAS,NÊSPERA,,CUMBUCA,NÊSPERA_CUMBUCA
